"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.expr","receptor.expr","ligand.sum","receptor.sum","prod_weight","edge_specificity"
"Endothelial","OPC-like-tumor","DLL1","DLL1","NOTCH1","NOTCH1",0.529296875,0.11037527593819,0.0882343345360686,0.650090548110981,0.502988877122612,5.70075516645327,0.0573603069007605,0.0200041773151917
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH1","NOTCH1",0.529296875,0.609271523178808,0.605828428468368,0.650090548110981,6.16419881174017,5.70075516645327,0.393843335124216,0.0112076477668528
"Endothelial","OPC-like-tumor","CSF1","CSF1","CSF1R","CSF1R",0.72265625,0.56953642384106,0.549918705343713,1.05121691008296,4.57310994182944,6.0325686364193,0.578083842228241,0.0209544813787635
"Endothelial","OPC-like-tumor","TNFSF10","TNFSF10","TNFRSF10B","TNFRSF10B",0.345703125,0.251655629139073,0.218423011810254,0.408754434478022,1.57644482002939,4.71332776697869,0.0892813746694866,0.0120158487451536
"Endothelial","OPC-like-tumor","SHH","SHH","PTCH1","PTCH1",0.142578125,0.116997792494481,0.10656714552714,0.152732749784961,1.67285098115258,1.77279628638178,0.0162762931730942,0.00548831987276909
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH2","NOTCH2",0.541015625,0.609271523178808,0.605828428468368,0.676799900663916,6.16419881174017,6.08897770856195,0.410024620206768,0.0109241816595242
"Endothelial","OPC-like-tumor","PDGFC","PDGFC","PDGFRA","PDGFRA",0.103515625,0.607064017660044,0.617586862004144,0.109805710351648,4.87137131564042,0.614672087236892,0.0678145640862099,0.0226479161273547
"Endothelial","OPC-like-tumor","PDGFA","PDGFA","PDGFRA","PDGFRA",0.103515625,0.532008830022075,0.525796181409015,0.109805710351648,3.16567926688524,0.614672087236892,0.0577354231998006,0.0296709840252077
"Endothelial","OPC-like-tumor","PDGFB","PDGFB","PDGFRA","PDGFRA",0.103515625,0.158940397350993,0.134244385412909,0.109805710351648,1.85866767422884,0.614672087236892,0.0147408001009849,0.012902557973144
"Endothelial","OPC-like-tumor","VEGFB","VEGFB","FLT1","FLT1",0.25,0.801324503311258,0.907714300939245,0.322936440216139,8.37758590460919,2.92742848615091,0.293134025078601,0.0119525631537768
"Endothelial","OPC-like-tumor","EFNA5","EFNA5","EPHA3","EPHA3",0.36328125,0.11037527593819,0.0866059148495874,0.410894659746667,0.486943894655552,3.80243945908095,0.03558590791417,0.0192192668813999
"Endothelial","OPC-like-tumor","GAS6","GAS6","MERTK","MERTK",0.1796875,0.403973509933775,0.35833056784518,0.184010956025177,2.92866620309264,1.89823366366076,0.0659367503622361,0.0118606364181621
"Endothelial","OPC-like-tumor","DLL1","DLL1","NOTCH2","NOTCH2",0.541015625,0.11037527593819,0.0882343345360686,0.676799900663916,0.502988877122612,6.08897770856195,0.0597169888491579,0.0194982275930191
"Endothelial","OPC-like-tumor","CXCL12","CXCL12","ACKR3","ACKR3",0.224609375,0.108167770419426,0.0883980269170349,0.251721894165341,1.2120641386487,1.76396224960031,0.0222517187760348,0.0104075540262692
"Endothelial","OPC-like-tumor","C3","C3","C3AR1","C3AR1",0.27734375,0.90728476821192,1.23400659004788,0.30183926620668,10.9513898098503,2.58005056067493,0.37247164363426,0.0131824387099934
"Endothelial","OPC-like-tumor","CXCL12","CXCL12","CXCR4","CXCR4",0.482421875,0.108167770419426,0.0883980269170349,0.602925133144307,1.2120641386487,4.74786812619912,0.0532973921486473,0.0092615080752505
"Endothelial","OPC-like-tumor","CX3CL1","CX3CL1","CX3CR1","CX3CR1",0.298828125,0.437086092715232,0.40593359016372,0.329922720791636,3.53447537027954,2.7272297609775,0.133926714527531,0.0138937835178837
"Endothelial","OPC-like-tumor","VEGFA","VEGFA","FLT1","FLT1",0.25,0.909492273730684,1.3032222676139,0.322936440216139,14.1890396305032,2.92742848615091,0.420857959913639,0.0101320249225218
"Endothelial","OPC-like-tumor","VEGFA","VEGFA","KDR","KDR",0.251953125,0.909492273730684,1.3032222676139,0.275964487324842,14.1890396305032,2.20430058080244,0.359643064952388,0.011498676963832
"Endothelial","OPC-like-tumor","VEGFA","VEGFA","FLT1_KDR","KDR",0.25,0.909492273730684,1.3032222676139,0.29945046377049,14.1890396305032,2.56586453347668,0.390250512433014,0.0107190613480834
"Endothelial","OPC-like-tumor","TNFSF12","TNFSF12","TNFRSF12A","TNFRSF12A",0.701171875,0.421633554083885,0.379765636672457,1.04540827041676,3.27474814717283,9.8655548274409,0.397010137397472,0.0122885934578132
"Endothelial","OPC-like-tumor","SEMA4D","SEMA4D","PLXNB1","PLXNB1",0.47265625,0.368653421633554,0.320742739326701,0.584525153846619,2.04917486328797,4.62318962597996,0.187482199050126,0.0197897046238979
