"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.expr","receptor.expr","ligand.sum","receptor.sum","prod_weight","edge_specificity"
"Endothelial","OPC-like-tumor","CSF1","CSF1","CSF1R","CSF1R",0.72265625,0.56953642384106,0.549918705343713,1.05121691008296,4.57310994182944,6.0325686364193,0.578083842228241,0.0209544813787635
"Endothelial","OPC-like-tumor","CTF1","CTF1","IL6ST","IL6ST",0.78515625,0.194260485651214,0.16489438839072,1.21007555613074,0.979422893941551,11.9205888999035,0.199534668734739,0.0170903281647041
"Endothelial","OPC-like-tumor","CTF1","CTF1","LIFR","LIFR",0.73828125,0.194260485651214,0.16489438839072,1.16541758281683,0.979422893941551,10.1743884527663,0.192170819538373,0.0192845218890954
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH1","NOTCH1",0.529296875,0.609271523178808,0.605828428468368,0.650090548110981,6.16419881174017,5.70075516645327,0.393843335124216,0.0112076477668528
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH2","NOTCH2",0.541015625,0.609271523178808,0.605828428468368,0.676799900663916,6.16419881174017,6.08897770856195,0.410024620206768,0.0109241816595242
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH3","NOTCH3",0.728515625,0.609271523178808,0.605828428468368,1.07137015960283,6.16419881174017,8.6349756407495,0.64906650010009,0.0121941474046867
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH4","NOTCH4",0.2890625,0.609271523178808,0.605828428468368,0.355911458325039,6.16419881174017,2.7217217171082,0.215621279470944,0.0128520161529162
"Endothelial","OPC-like-tumor","EFNA1","EFNA1","EPHA2","EPHA2",0.3515625,0.306843267108168,0.282949828353058,0.387699037305317,3.42100435751953,3.10974601685925,0.109699376058185,0.0103115893628423
"Endothelial","OPC-like-tumor","EFNA1","EFNA1","EPHA3","EPHA3",0.36328125,0.306843267108168,0.282949828353058,0.410894659746667,3.42100435751953,3.80243945908095,0.116262573446508,0.00893766343127133
"Endothelial","OPC-like-tumor","EFNA5","EFNA5","EPHA2","EPHA2",0.3515625,0.11037527593819,0.0866059148495874,0.387699037305317,0.486943894655552,3.10974601685925,0.0335770298121313,0.0221737134610003
"Endothelial","OPC-like-tumor","EFNA5","EFNA5","EPHA3","EPHA3",0.36328125,0.11037527593819,0.0866059148495874,0.410894659746667,0.486943894655552,3.80243945908095,0.03558590791417,0.0192192668813999
"Endothelial","OPC-like-tumor","EFNB1","EFNB1","EPHB3","EPHB3",0.123046875,0.23841059602649,0.196440600036945,0.128905361397274,1.88940542944449,0.675355887412448,0.0253222465408597,0.019844692950721
"Endothelial","OPC-like-tumor","EFNB1","EFNB1","EPHB4","EPHB4",0.244140625,0.23841059602649,0.196440600036945,0.252820853787373,1.88940542944449,1.87240688748634,0.0496642802198443,0.0140384369774963
"Endothelial","OPC-like-tumor","EFNB2","EFNB2","EPHB3","EPHB3",0.123046875,0.45916114790287,0.434008548009725,0.128905361397274,5.16815094275568,0.675355887412448,0.0559460287306998,0.0160288138225721
"Endothelial","OPC-like-tumor","EFNB2","EFNB2","EPHB4","EPHB4",0.244140625,0.45916114790287,0.434008548009725,0.252820853787373,5.16815094275568,1.87240688748634,0.109726411658837,0.0113390261684057
