source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
Microglia/Macrophages,OPC-like-tumor,ANXA1,FPR2,0.006661905907094479,0.033426132053136826,0.7447300553321838,0.04913861124189037,0.0,ANNEXIN,Secreted Signaling,PMID: 23230437
Microglia/Macrophages,OPC-like-tumor,ANXA1,FPR1,0.006661905907094479,0.0,0.7447300553321838,0.04913861124189037,0.0,ANNEXIN,Secreted Signaling,PMID: 23230437
Microglia/Macrophages,OPC-like-tumor,CALCB,CALCR,0.03568578511476517,0.03806047514081001,0.7447300553321838,0.04913861124189037,0.0,CALCR,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,CALCB,CALCRL,0.03568578511476517,0.04815684258937836,0.7447300553321838,0.04913861124189037,0.0,CALCR,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,CRH,CRHR1,0.05832866206765175,0.0,0.7447300553321838,0.04913861124189037,0.0,CRH,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,ENHO,GPR19,0.11174063384532928,0.012186028063297272,0.7447300553321838,0.04913861124189037,0.0,ENHO,Secreted Signaling,PMID: 28476646
Microglia/Macrophages,OPC-like-tumor,GAS6,AXL,0.03695731610059738,0.04277822747826576,0.7447300553321838,0.04913861124189037,0.0,GAS,Secreted Signaling,PMID: 27801848
Microglia/Macrophages,OPC-like-tumor,GAS6,MERTK,0.03695731610059738,0.15143983066082,0.7447300553321838,0.04913861124189037,0.0,GAS,Secreted Signaling,PMID: 27801848
Microglia/Macrophages,OPC-like-tumor,GAS6,TYRO3,0.03695731610059738,0.4796324074268341,0.7447300553321838,0.04913861124189037,0.0,GAS,Secreted Signaling,PMID: 27801848
Microglia/Macrophages,OPC-like-tumor,GH1,GHR,0.12009554356336594,0.001224254840053618,0.7447300553321838,0.04913861124189037,0.0,GH,Secreted Signaling,PMID: 10551877
Microglia/Macrophages,OPC-like-tumor,GH1,PRLR,0.12009554356336594,0.0011565744644030929,0.7447300553321838,0.04913861124189037,0.0,GH,Secreted Signaling,PMID: 23192981
Microglia/Macrophages,OPC-like-tumor,GRN,SORT1,0.0007660818519070745,0.027608733624219894,0.7447300553321838,0.04913861124189037,0.0,GRN,Secreted Signaling,PMID: 29555433
Microglia/Macrophages,OPC-like-tumor,IAPP,CALCR,0.0,0.03806047514081001,0.7447300553321838,0.04913861124189037,0.0,CALCR,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,IAPP,CALCRL,0.0,0.04815684258937836,0.7447300553321838,0.04913861124189037,0.0,CALCR,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,INSL3,RXFP1,0.005838622339069843,0.001017166767269373,0.7447300553321838,0.04913861124189037,0.0,RLN,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,INSL5,RXFP1,0.12198122590780258,0.001017166767269373,0.7447300553321838,0.04913861124189037,0.0,RLN,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,LEP,LEPR,0.33700233697891235,0.0006277878419496119,0.7447300553321838,0.04913861124189037,0.0,LEP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,LGALS9,PTPRC,0.31109926104545593,0.0017070140456780791,0.7447300553321838,0.04913861124189037,0.0,GALECTIN,Secreted Signaling,PMID: 30120235
